Sample:float,Data:float
130019,0.505245209
130020,0.612031937
130021,0.724615097
130022,0.917196274
130023,1.03858757
130024,1.119621277
130025,1.074483871
130026,1.092927933
130027,0.984930038
130028,0.974937439
130029,1.014751434
130030,1.029870987
130031,0.925577164
130032,0.866174698
130033,0.859607697
130034,0.776468277
130035,0.813177109
130036,0.759433746
130037,0.805437088
130038,0.805803299
130039,0.684972763
130040,0.836442947
130041,0.755533218
130042,0.703918457
130043,0.537466049
130044,0.618398666
130045,0.61016655
130046,0.483434677
130047,0.658802032
130048,0.892044067
130049,1.022769928
130050,1.092626572
130051,1.064388275
130052,1.200881958
130053,1.231044769
130054,1.174922943
130055,1.0766716
130056,0.966739655
130057,0.879314423
130058,0.686227798
130059,0.544128418
130060,0.488786697
130061,0.500488281
130062,-0.281402588
130063,-0.25725174
130064,-0.266202927
130065,-0.494325638
130066,-0.119804382
130067,0.495998383
130068,0.482620239
130069,0.656986237
130070,0.83013916
130071,0.982578278
130072,1.122180939
130073,1.173654556
130074,1.171072006
130075,1.093515396
130076,1.070281982
130077,1.091888428
130078,1.040540695
130079,0.913946152
130080,0.793315887
130081,0.820674896
130082,0.789203644
130083,0.765893936
130084,0.78988266
130085,0.820737839
130086,0.849861145
130087,0.834218979
130088,0.853317261
130089,0.817668915
130090,0.701906204
130091,0.52460289
130092,0.514650345
130093,0.508922577
130094,0.485347748
130095,0.544359207
130096,0.773569107
130097,0.962499619
130098,1.04766655
130099,1.035709381
130100,1.09444809
130101,1.147480011
130102,1.15187645
130103,0.605068207
130104,0.677089691
130105,0.843992233
130106,0.995187759
130107,1.08782959
130108,1.178426743
130109,1.096006393
130110,1.033023834
130111,1.013462067
130112,1.044231415
130113,1.040990829
130114,0.88825798
130115,0.862096786
130116,0.814285278
130117,0.838874817
130118,0.754865646
130119,0.906677246
130120,0.972084045
130121,0.822122574
130122,0.8657341
130123,0.809186935
130124,0.66358757
130125,0.716064453
130126,0.565265656
130127,0.53301239
130128,0.569459915
130129,0.528097153
130130,0.55239296
130131,0.773694992
130132,0.96055603
130133,1.059577942
130134,1.028596878
130135,1.068717957
130136,1.15694809
130137,1.187179565
130138,1.089096069
130139,0.975049973
130140,0.897750854
130141,0.77586937
130142,0.635440826
130143,0.445583344
130144,0.466186523
130145,0.467851639
130146,-0.064826965
130147,-0.322048187
130148,-0.253740311
130149,-0.542974472
130150,0.261884689
130151,0.535747528
130152,0.600578308
130153,0.768064499
130154,0.898233414
130155,1.081947327
130156,1.164138794
130157,1.121046066
130158,1.134843826
130159,1.079061508
130160,1.068647385
130161,1.112531662
130162,1.013378143
130163,0.91468811
130164,0.856966019
130165,0.855718613
130166,0.846597672
130167,0.847522736
130168,0.751970291
130169,0.761728287
130170,0.856445313
130171,0.922832489
130172,0.768230438
130173,0.688901901
130174,0.519489288
130175,0.518117905
130176,0.478342056
130177,0.474651337
130178,0.485855103
130179,0.634754181
130180,0.863681793
130181,0.965147018
130182,1.042608261
130183,1.019903183
130184,1.120447159
130185,1.14415741
130186,1.093797684
130187,1.056776047
130188,0.941987991
130189,0.84062767
130190,0.722682953
130191,0.619256973
130192,0.575798035
130193,0.508636475
130194,-0.279148102
130195,-0.232032776
130196,-0.296035767
130197,-0.442367554
130198,-0.10827446
130199,0.55591011
130200,0.607244492
130201,0.695337296
130202,0.895130157
130203,1.033735275
130204,1.136758804
130205,1.077104568
130206,1.065769196
130207,1.076873779
130208,1.003511429
130209,1.03578186
130210,1.030708313
130211,0.885622025
130212,0.848594666
130213,0.824558258
130214,0.840875626
130215,0.801906586
130216,0.814962387
130217,0.736194611
130218,0.810447693
130219,0.864219666
130220,0.81341362
130221,0.825727463
130222,0.729034424
130223,0.562007904
130224,0.544965744
130225,0.622354507
130226,0.567409515
130227,0.600418091
130228,0.827787399
130229,0.992963791
130230,1.064062119
130231,1.065166473
130232,1.054346085
130233,1.133653641
130234,1.119865417
130235,1.078285217
130236,0.953559875
130237,0.864128113
130238,0.731779099
130239,0.553833008
130240,0.491722107
130241,0.526952744
130242,1.148504257
