Sample:float,Data:float
122469,-1.293006897
122470,-1.433631897
122471,-1.527381897
122472,-1.621131897
122473,-1.808631897
122474,-1.855506897
122475,-1.964881897
122476,-2.058631897
122477,-2.199256897
122478,-2.214881897
122479,-2.261756897
122480,-2.293006897
122481,-2.449256897
122482,-2.480506897
122483,-2.496131897
122484,-2.589881897
122485,-2.589881897
122486,2.269493103
122487,2.175743103
122488,2.191368103
122489,2.113243103
122490,2.050743103
122491,1.956993103
122492,1.941368103
122493,1.894493103
122494,1.785118103
122495,1.738243103
122496,1.691368103
122497,1.644493103
122498,1.535118103
122499,1.535118103
122500,1.441368103
122501,1.378868103
122502,1.253868103
122503,1.222618103
122504,1.144493103
122505,1.066368103
122506,0.972618103
122507,0.925743103
122508,0.831993103
122509,0.675743103
122510,0.675743103
122511,0.613243103
122512,0.425743103
122513,0.222618103
122514,0.269493103
122515,0.331993103
122516,0.253868103
122517,-0.011756897
122518,-0.074256897
122519,-0.136756897
122520,-0.214881897
122521,-0.261756897
122522,-0.324256897
122523,-0.480506897
122524,-0.543006897
122525,-0.668006897
122526,-0.793006897
122527,-0.980506897
122528,-1.058631897
122529,-1.183631897
122530,-1.339881897
122531,-1.496131897
122532,-1.543006897
122533,-1.652381897
122534,-1.808631897
122535,-1.902381897
122536,-1.980506897
122537,-2.074256897
122538,-2.168006897
122539,-2.199256897
122540,-2.277381897
122541,-2.355506897
122542,-2.480506897
122543,-2.496131897
122544,-2.511756897
122545,-2.605506897
122546,-2.605506897
122547,-2.621131897
122548,-2.621131897
122549,-2.699256897
122550,-2.668006897
122551,-2.668006897
122552,-2.714881897
122553,-2.746131897
122554,-2.714881897
122555,-2.730506897
122556,-2.746131897
122557,-2.746131897
122558,-2.730506897
122559,-2.730506897
122560,-2.793006897
122561,-2.777381897
122562,-2.746131897
122563,-2.793006897
122564,-2.793006897
122565,-2.777381897
122566,-2.793006897
122567,-2.839881897
122568,-2.808631897
122569,-2.777381897
122570,-2.839881897
122571,-2.824256897
122572,-2.793006897
122573,-2.793006897
122574,-2.839881897
122575,-2.808631897
122576,-2.793006897
122577,-2.761756897
122578,-2.808631897
122579,-2.746131897
122580,-2.730506897
122581,-2.761756897
122582,-2.777381897
122583,-2.746131897
122584,-2.668006897
122585,-2.746131897
122586,-2.699256897
122587,-2.668006897
122588,-2.652381897
122589,-2.668006897
122590,-2.621131897
122591,-2.574256897
122592,-2.589881897
122593,-2.574256897
122594,-2.527381897
122595,-2.496131897
122596,-2.511756897
122597,-2.433631897
122598,-2.402381897
122599,-2.418006897
122600,-2.386756897
122601,-2.355506897
122602,-2.293006897
122603,-2.261756897
122604,-2.168006897
122605,-2.246131897
122606,-2.152381897
122607,-2.136756897
122608,-2.027381897
122609,-1.918006897
122610,-1.886756897
122611,-1.808631897
122612,-1.730506897
122613,-1.636756897
122614,-1.605506897
122615,-1.449256897
122616,-1.339881897
122617,-1.324256897
122618,-1.230506897
122619,-1.121131897
122620,-0.996131897
122621,-0.980506897
122622,-0.871131897
122623,-0.761756897
122624,-0.683631897
122625,-0.636756897
122626,-0.464881897
122627,-0.371131897
122628,-0.324256897
122629,-0.261756897
122630,-0.183631897
122631,-0.105506897
122632,-0.121131897
122633,0.019493103
122634,0.081993103
122635,0.097618103
122636,-2.808631897
122637,-2.793006897
122638,-2.761756897
122639,-2.777381897
122640,-2.839881897
122641,-2.761756897
122642,-2.746131897
122643,-2.746131897
122644,-2.793006897
122645,-2.714881897
122646,-2.683631897
122647,-2.714881897
122648,-2.683631897
122649,-2.668006897
122650,-2.605506897
122651,-2.652381897
122652,-2.589881897
122653,-2.527381897
122654,-2.511756897
122655,-2.558631897
122656,-2.496131897
122657,-2.449256897
122658,-2.480506897
122659,-2.386756897
122660,-2.371131897
122661,-2.371131897
122662,-2.355506897
122663,-2.308631897
122664,-2.261756897
122665,-2.261756897
122666,-2.199256897
122667,-2.168006897
122668,-2.105506897
122669,-2.105506897
122670,-1.980506897
122671,-1.918006897
122672,-1.855506897
122673,-1.793006897
122674,-1.699256897
122675,-1.605506897
122676,-1.543006897
122677,-1.418006897
122678,-1.339881897
122679,-1.261756897
122680,-1.246131897
122681,-1.074256897
122682,-0.996131897
122683,-0.918006897
122684,-0.839881897
122685,-0.730506897
122686,-0.636756897
122687,-0.589881897
122688,-0.464881897
122689,-0.355506897
122690,-0.214881897
122691,-0.199256897
122692,-0.277381897
122693,-0.105506897
122694,-0.105506897
122695,0.019493103
122696,0.066368103
122697,0.128868103
122698,0.128868103
122699,0.238243103
122700,0.410118103
122701,0.441368103
122702,0.535118103
122703,0.660118103
122704,0.800743103
122705,0.847618103
122706,1.003868103
122707,1.097618103
122708,1.191368103
122709,1.253868103
122710,1.410118103
122711,1.503868103
122712,1.581993103
122713,1.613243103
122714,1.753868103
122715,1.863243103
122716,1.910118103
122717,2.003868103
122718,2.066368103
122719,2.160118103
122720,2.175743103
122721,2.253868103
122722,2.331993103
122723,2.253868103
122724,2.394493103
122725,2.472618103
122726,2.488243103
122727,2.441368103
122728,2.550743103
122729,2.566368103
122730,2.566368103
122731,2.535118103
122732,2.581993103
122733,2.706993103
122734,2.613243103
122735,2.613243103
122736,2.675743103
122737,2.706993103
122738,2.660118103
122739,2.738243103
122740,2.769493103
122741,2.738243103
122742,2.738243103
122743,2.785118103
122744,2.847618103
122745,2.816368103
122746,2.816368103
122747,2.816368103
122748,2.831993103
122749,2.816368103
122750,2.831993103
122751,2.831993103
122752,2.769493103
122753,2.738243103
122754,2.769493103
122755,2.769493103
122756,2.706993103
122757,2.691368103
122758,2.675743103
122759,2.675743103
122760,2.597618103
122761,2.613243103
